Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-039099,2019-08,01/01/1900 00:00,Y, , ,1, ,130000,0,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,UNKNOWN,0,UNIVERSITY CITY PD, ,5588,DR MARTIN LUTHER KING,0,0
19-039141,2019-08,01/01/2011 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,4358,VISTA AVE,39, , ,4358,VISTA,889234.8,1016069
19-037923,2019-08,01/01/2011 12:00,Y, , ,1, ,175500,5,SEX OFFNS-SX MISCONDUCT/FIRST,1400,UNION BLVD,51, , ,1400,UNION,0,0
19-040019,2019-08,01/01/2017 09:30,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4822,GREER AVE,55, , ,4822,GREER,891486.4,1033114
19-039212,2019-08,01/01/2019 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,2800,CHARITON ST,17, , ,2800,CHARITON,0,0
19-037912,2019-08,01/01/2019 15:00,Y, , ,1, ,176100,4,SEX OFFNS-SX ABUSE/1ST/NO CONSNT/VIC<12,1900,OLIVE ST,36, ,@HEADQUARTERS,1900,OLIVE,0,0
19-035473,2019-08,01/15/2019 10:21, , , ,-1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5888,PLYMOUTH,48,ETZEL PLACE APARTMENTS, ,5888,PLYMOUTH,0,0
19-005861,2019-08,02/07/2019 13:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4450,PENROSE,69, , ,4450,PENROSE,0,0
19-038425,2019-08,02/11/2019 19:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4325,DUKE ST,5, , ,4325,DUKE,886099.7,1000334
19-033762,2019-08,02/12/2019 00:01,Y, , ,1, ,179210,6,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4100,FARLIN AVE,68, , ,4100,FARLIN,0,0
