Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-032638,2019-07,01/01/2006 12:00,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3000,CHIPPEWA ST,16, , ,3000,CHIPPEWA,0,0
19-032476,2019-07,01/01/2018 12:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4124,PAGE BLVD,58, , ,4124,PAGE,894557.5,1025952
19-035028,2019-07,01/01/2019 09:30,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4934,NAGEL AVE,6, , ,4934,NAGEL,880625.2,996012.7
19-000330,2019-07,01/02/2019 21:41,Y, , ,1, , 41026,4,ASSLT-AGGRAV-FIREARM-3RD-CHILD-DOMESTIC,3860,EVANS AVE,77, , ,3860,EVANS,896551.8,1025333
19-000330,2019-07,01/02/2019 21:41,Y, , ,1, , 41016,4,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,3860,EVANS AVE,77, , ,3860,EVANS,896551.8,1025333
19-032666,2019-07,01/05/2019 12:40,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4600,S BROADWAY,17, , ,4600,BROADWAY,896497.6,997157.3
19-000786,2019-07,01/05/2019 14:50,Y, , ,1, , 42014,6,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,4725,N 20TH ST,66, , , , ,903061.1,1033547
19-002566,2019-07,01/14/2019 12:56,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,5535,MARDEL AVE,14, , ,5535,MARDEL,881153.4,1005422
19-035473,2019-07,01/15/2019 10:21,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,5888,PLYMOUTH AVE,48,ETZEL PLACE APARTMENTS, ,5888,PLYMOUTH,880771.9,1031257
19-035139,2019-07,01/22/2019 16:00,Y, , ,1, , 67701,2,LARCENY-FROM BUILDING UNDER $500,4938,KEMPER AVE,13, , ,4938,KEMPER,885623.5,1008699
18-004007,2019-07,01/25/2018 15:00, , , ,-1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5820,HIGHLAND,50, , ,5820,HIGHLAND,0,0
18-055587,2019-07,02/01/2016 12:00,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5818,SELBER CT,50, , ,5818,SELBER,885088.8,1037930
19-035776,2019-07,02/01/2019 12:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,937,CANAAN AVE,74, , ,937,CANAAN,896279.3,1051435
19-036996,2019-07,02/04/2019 17:00,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6604,SUTHERLAND AVE,9, , ,6604,SUTHERLAND,875953.1,1004298
19-033759,2019-07,02/13/2019 13:09,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,108,MADISON ST,64, , ,108,MADISON,909810.4,1025033
19-033829,2019-07,03/01/2016 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6213,LINDENWOOD CT,9, , ,6213,LINDENWOOD,878359.1,1005464
