Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-025935,2019-06,01/01/1900 00:00,Y, , ,1, , 51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1811,WARREN ST,60, , ,1811,WARREN,905619.6,1025285
19-024933,2019-06,01/01/2012 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,6000,ENRIGHT AVE,48, , ,6000,ENRIGHT,0,0
19-024933,2019-06,01/01/2012 12:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,6000,ENRIGHT AVE,48, , ,6000,ENRIGHT,0,0
19-021057,2019-06,01/01/2017 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4200,LABADIE AVE,56, , ,4000,UNION,0,0
19-028639,2019-06,01/01/2017 12:00,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,917,COLE ST,62, , ,917,COLE,908300.4,1020081
19-024422,2019-06,01/01/2018 06:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5500,CLEMENS AVE,48, , ,5500,CLEMENS,0,0
19-027828,2019-06,01/01/2018 09:33,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,1322,SAN JACINTO CT,44, , ,1322,SAN JACINTO,877754.8,1017188
19-028614,2019-06,01/01/2019 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,1256,MCLARAN AVE,74, , ,1256,MCLARAN,895247.1,1049451
19-027898,2019-06,01/03/2019 12:00,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,2509,CHESTER ST,50, , ,2509,CHESTER,886842.3,1033352
19-024769,2019-06,01/03/2019 23:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
19-029256,2019-06,01/05/2019 14:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4431,KOSSUTH AVE,69, , ,4431,KOSSUTH,895973,1034376
19-024768,2019-06,01/06/2019 11:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3401,GOODFELLOW BLVD,50, , ,3401,GOODFELLOW,884807.3,1037849
19-024766,2019-06,01/07/2019 16:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5931,PAGE BLVD,78, , ,5931,PAGE,881057.1,1032589
19-026467,2019-06,01/07/2019 16:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5931,PAGE BLVD,78, , ,5931,PAGE,881057.1,1032589
19-024771,2019-06,01/08/2019 08:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,911,GOODFELLOW BLVD,48, , ,911,GOODFELLOW,881314.1,1028903
19-024773,2019-06,01/09/2019 03:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
19-024755,2019-06,01/11/2019 09:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4900,EUCLID TER,53, , ,4900,EUCLID,888733.6,1027045
19-024761,2019-06,01/11/2019 13:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5351,DELMAR BLVD,49, , ,5351,DELMAR,884221.6,1026993
19-024764,2019-06,01/12/2019 11:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,900,N KINGSHIGHWAY BLVD,53, , ,900,KINGSHIGHWAY,887992.3,1027106
19-024776,2019-06,01/14/2019 14:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
19-027857,2019-06,01/15/2019 12:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5521,WATERMAN BLVD,47, , ,5521,WATERMAN,883334.5,1025442
19-024759,2019-06,01/15/2019 20:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,943,MAPLE PL,48, , ,943,MAPLE,879453.2,1029506
19-024779,2019-06,01/15/2019 23:04,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4042,FINNEY AVE,58, , ,4042,FINNEY,894690.8,1025006
19-024780,2019-06,01/18/2019 09:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,N KINGSHIGHWAY BLVD,52, , ,3501,KINGSHIGHWAY,890735,1035001
19-024781,2019-06,01/18/2019 09:38,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5010,ENRIGHT AVE,51, , ,5010,ENRIGHT,887696.4,1026535
19-024611,2019-06,01/19/2019 20:03,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4310,SAINT FERDINAND AVE,57, , ,4310,SAINT FERDINAND,894222.5,1029182
19-024757,2019-06,01/20/2019 04:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,943,MAPLE PL,48, , ,943,MAPLE,879453.2,1029506
19-003495,2019-06,01/23/2019 16:29,Y, , ,1, , 43025,5,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,5855,SELBER CT,38, , ,400,KINGSHIGHWAY,884892.9,1038049
19-024756,2019-06,01/23/2019 18:00,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5588,DR MARTIN LUTHER KING DR,78, , ,5588,DR MARTIN LUTHER KING,884276.6,1032771
19-024758,2019-06,01/24/2019 00:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,943,MAPLE PL,48, , ,943,MAPLE,879453.2,1029506
19-027032,2019-06,01/30/2019 10:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,1227,TAMM AVE,42, , ,1227,TAMM,879247.9,1017486
19-025409,2019-06,01/30/2019 12:00,Y, , ,1, , 52322,2,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,5801,WILSON AVE,12,STORAGE PLACE, ,5801,WILSON,881898.8,1013889
19-026253,2019-06,01/30/2019 18:00,Y, , ,1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5208,S COMPTON AVE,17, , ,5208,COMPTON,893553.1,995405.7
19-026055,2019-06,01/31/2019 08:46,Y, , ,1, ,111110,4,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,919,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,919,JEFFERSON,902219.7,1021301
19-028017,2019-06,02/01/2019 00:01,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",3117,MERAMEC ST,16, , ,3117,MERAMEC,895057.6,1000297
19-027406,2019-06,02/01/2019 07:59,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,930,N KINGSHIGHWAY BLVD,53, ,@RALLYS - KINGSHIGHWAY,930,KINGSHIGHWAY,888019.9,1027321
19-027416,2019-06,02/02/2019 09:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4324,DR MARTIN LUTHER KING DR,58, , ,4324,DR MARTIN LUTHER KING,893407.7,1027601
