Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-052763,2019-10,1/1/04 12:00,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,3700,KEOKUK ST,16, , ,3700,KEOKUK,0,0
19-048572,2019-10,1/1/10 10:38,Y, , ,1, ,21000,6,RAPE -- FORCIBLE,5000,THRUSH AVE,72, , ,5000,THRUSH,0,0
19-047928,2019-10,1/1/16 12:00,Y, , ,1, ,21000,1,RAPE -- FORCIBLE,100,BLOW ST,1, , ,100,BLOW,0,0
19-052818,2019-10,1/1/17 8:00,Y, , ,1, ,69702,6,LARCENY-ALL OTHER UNDER $500,8500,HALL ST,79,UPS FREIGHT, ,8500,HALL,899207.4,1051607
19-053179,2019-10,1/1/19 10:12,Y, , ,1, ,91124,4,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",2705,N SPRING AVE,59,VICTIMS MOTHERS RESIDENCE, ,4014,UNION,899134.8,1027539
19-054488,2019-10,1/1/19 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4925,LEXINGTON AVE,55, , ,4925,LEXINGTON,891303.8,1034479
19-049328,2019-10,1/16/19 9:19,Y, , ,1, ,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,5327,PENNSYLVANIA AVE,1, , ,5327,PENNSYLVANIA,894030.1,994481.3
19-052846,2019-10,1/18/19 17:00,Y, , ,1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1023,SPRUCE ST,35, , ,3915,OLIVE,906589.4,1016244
19-051493,2019-10,2/1/19 0:01,Y, , ,1, ,67601,2,"LARCENY-FROM BUILDING $500 - $24,999",4175,CHIPPEWA ST,15,EZ STORAGE, ,4175,CHIPPEWA,889186.2,1003827
19-032529,2019-10,2/5/19 11:00,Y, , ,1, ,44016,2,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,5372,REBER PL,13, , ,5372,REBER,883606.3,1010328
18-010402,2019-10,2/11/18 17:00, , , ,-1, ,21000,5,RAPE -- FORCIBLE,4900, ,38, ,: @BARNES JEWISH HOSPITAL,4900, ,0,0
19-050652,2019-10,3/16/19 12:00,Y, , ,1, ,112020,5,FRAUD-CREDIT DEVICE/UNDER $150,5126,LABADIE AVE,52, , ,5126,LABADIE,889323,1034128
19-014173,2019-10,4/1/19 1:00, , , ,-1, ,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5835,SELBER,50, , ,5835,SELBER,0,0
19-015399,2019-10,4/1/19 7:00, , , ,1, ,51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4548,NATURAL BRIDGE,56, ,GARAGE,4548,NATURAL BRIDGE,0,0
19-049939,2019-10,4/1/19 8:00,Y, , ,1, ,91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,2707,DALTON AVE,13, , ,2707,DALTON,881530.4,1011118
19-046342,2019-10,4/1/19 18:58,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5010,ENRIGHT AVE,51, , ,5010,ENRIGHT,887696.4,1026535
19-050330,2019-10,4/2/19 13:00,Y, , ,1, ,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5700,NATURAL BRIDGE AVE,50, , ,10,PARKLAND,886070.3,1038255
19-046336,2019-10,4/7/19 16:52,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4567,MCMILLAN AVE,54, , ,4567,MCMILLAN,890538.8,1027072
19-039407,2019-10,4/10/19 21:00,Y, , ,1, ,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",211,N BROADWAY,35,SCHLAPPRIZZI LAW FIRM,@METROPOLITAN SQUARE BUILDING,919,JEFFERSON,908989.9,1017353
19-046344,2019-10,4/12/19 7:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3501,N KINGSHIGHWAY BLVD,52, , ,3501,KINGSHIGHWAY,890735,1035001
19-046343,2019-10,4/16/19 2:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1620,UNION BLVD,52, , ,1620,UNION,886883.8,1031770
19-046328,2019-10,4/24/19 2:50,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4218,LINDELL BLVD,38, , ,4218,LINDELL,891808.7,1022061
19-046329,2019-10,4/28/19 15:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4218,LINDELL BLVD,38, , ,4218,LINDELL,891808.7,1022061
19-050267,2019-10,5/1/19 13:40,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,7427,S BROADWAY,2, , ,7427,BROADWAY,889623.8,988629.2
19-046566,2019-10,5/3/19 22:00,Y, , ,1, ,171300,5,SEX OFFNS-STATUATORY RAPE/SECOND,4300,W BELLE PL,58, , ,4300,BELLE,0,0
19-049340,2019-10,5/5/19 7:00,Y, , ,1, ,112010,4,FRAUD-CREDIT DEVICE/OVER $150,732,CARR ST,62, , ,732,CARR,909085.3,1020208
19-048603,2019-10,5/6/19 15:27,Y, , ,1, ,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,7,WEST PINE,59, , ,7,WEST PINE,902219.9,1021227
19-050631,2019-10,5/8/19 12:30,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,7845,HALL ST,74, , ,7845,HALL,897928.3,1046785
19-050021,2019-10,5/14/18 0:55,Y, , ,1, ,130000,2,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4026,SHENANDOAH AVE,27, ,REAR ALLEY,4031,SHENANDOAH,891692.1,1011120
19-050021,2019-10,5/14/18 0:55, , , ,-1, ,130000,2,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4026,SHENANDOAH AVE,27, ,REAR ALLEY,4031,SHENANDOAH,891692.1,1011120
19-050685,2019-10,5/18/19 15:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1950,S 3RD ST,20, , ,1950,3RD,906024.9,1009980
18-022979,2019-10,5/22/18 16:15, , , ,-1, ,71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6379,GOVERNMENT,82, , ,6379,GOVERNMENT,0,0
19-050799,2019-10,5/24/19 8:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3342,LIBERTY ST,16, , ,3342,LIBERTY,892946.8,996997.6
19-052800,2019-10,6/1/19 12:00,Y, , ,1, ,204100,4,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,1723,OFALLON ST,61, , ,1723,OFALLON,905801.4,1021957
19-052120,2019-10,6/5/19 13:00,Y, , ,1, ,51321,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/OCCUPIED,4310,SAINT FERDINAND AVE,57, ,@JAMES HOUSE,4310,ST FERDINAND,894222.5,1029182
19-029185,2019-10,6/7/19 0:01, , , ,-1, ,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL,6012,BARTMER,48, , ,6012,BARTMER,0,0
19-051754,2019-10,6/12/19 19:00,Y, , ,1, ,64701,3,LARCENY-FROM MTR VEH UNDER $500,2819,CHEROKEE ST,19, , , , ,897148.1,1005310
19-047001,2019-10,6/14/17 0:01,Y, , ,1, ,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,3000,MIAMI ST,19, , ,3000,MIAMI,0,0
19-027838,2019-10,6/14/19 9:45, , , ,1, ,23000,3,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,1400,PEABODY,33,CLINTON PEABODY HOUSING COMPLEX, ,1500,PEABODY,0,0
19-027838,2019-10,6/14/19 9:45, , , ,-1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,1434,PEABODY,33,CLINTON PEABODY HOUSING COMPLEX, ,1456,PEABODY,0,0
