Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-048558,2019-09,01/01/2010 09:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2632,S JEFFERSON AVE,22, , ,2632,JEFFERSON,899459.5,1008904
19-041624,2019-09,01/01/2017 12:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,1900,E GANO AVE,66, , ,1900,GANO,0,0
19-040247,2019-09,01/01/2018 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,2900,MOUNT PLEASANT ST,17, , ,2900,MOUNT PLEASANT,0,0
19-044098,2019-09,01/01/2018 12:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,4101,GERALDINE AVE,70, , ,4101,GERALDINE,890309.1,1037199
19-046325,2019-09,01/05/2019 11:14,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,4174,FINNEY AVE,58, , ,4174,FINNEY,893919.3,1025395
19-044716,2019-09,02/01/2019 09:00,Y, , ,1, ,117000,1,FAILURE TO RETURN BORROWED/RENTED VEHICL,4419,DEWEY AVE,16, , ,4419,DEWEY,891721,1000083
19-044442,2019-09,02/01/2019 14:53,Y, , ,1, ,242000,4,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,919,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,1235,WASHINGTON,902219.7,1021301
19-044754,2019-09,02/08/2018 08:00,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3201,ALFRED AVE,15, , ,3201,ALFRED,887651.3,1008034
19-046585,2019-09,02/09/2019 23:00,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,1808,BENTON ST,60, , ,1808,BENTON,905679,1024771
19-044734,2019-09,02/20/2019 12:44,Y, , ,1, , 71030,2,AUTO THEFT-PERM RETNT/JOY RIDE,1641,S KINGSHIGHWAY BLVD,12,U-HAUL, ,1641,KINGSHIGHWAY,886712.8,1014540
19-046052,2019-09,02/22/2019 08:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,124,ELWOOD AVE,1, , ,124,ELWOOD,893169.1,992800.7
